1,1,Montignies-sur-Sambre
2,2,Buzenol
1,3,Sint-Gillis
1,4,Montemilone
3,5,Labro
1,6,Fort Laird
2,7,Bridgwater
1,8,Enna
3,9,Drachten
3,10,Rï¿½sselsheim
2,11,Perpignan
2,12,Masullas
2,13,Miranda
3,14,Spijkenisse
2,15,Ramskapelle
3,16,Sant'Agata Bolognese
2,17,Feira de Santana
1,18,Fermont
2,19,Beho
1,20,Flamierge
2,21,Jhang
1,22,Grand Falls
2,23,Outremont
2,24,Kinross
1,25,Cartagena
3,26,Montgomery
2,27,Rebecq
1,28,Lanklaar
2,29,Kontich
1,30,San Giacomo degli Schiavoni
2,31,San Benedetto del Tronto
1,32,Marsciano
2,33,Sobral
1,34,Coventry
1,35,Copertino
3,36,Camrose
3,37,Colleretto Castelnuovo
2,38,Saint-MÃ©dard-en-Jalles
2,39,Coventry
3,40,Airdrie
3,41,Sydney
2,42,Birmingham
2,43,Arquata del Tronto
2,44,Tejar
2,45,Piagge
2,46,Brecon
1,47,Algeciras
1,48,Villach
3,49,Boignee
2,50,Sant'Arsenio
3,51,Saint-Eugï¿½ne-de-Ladriï¿½re
3,52,Tobermory
1,53,Boise
2,54,Louvain-la-Neuve
3,55,Hampstead
2,56,Wokingham
1,57,Fort Good Hope
2,58,Labro
2,59,Rouvreux
3,60,Hohen Neuendorf
3,61,SantarÃ©m
1,62,Rastatt
3,63,Sannazzaro de' Burgondi
1,64,Savannah
2,65,Knighton
3,66,Dumfries
3,67,Tauranga
1,68,Friedrichsdorf
1,69,Geleen
2,70,Olen
3,71,Cockburn
1,72,Borgone Susa
2,73,Enterprise
2,74,Kamalia
1,75,Blehen
2,76,Blankenfelde-Mahlow
1,77,Victoria
1,78,Tulln an der Donau
3,79,Palagano
1,80,Savannah
2,81,Baisy-Thy
1,82,Cavaso del Tomba
1,83,Kontich
2,84,Penrith
1,85,Frankston
3,86,Glauchau
2,87,Torchiarolo
2,88,Compiano
3,89,San Diego
3,90,Georgia
2,91,Snellegem
1,92,Lerwick
1,93,Itter
3,94,Nanterre
1,95,Itegem
2,96,Miramichi
1,97,Daly
3,98,Lisieux
3,99,Thon
2,100,Vezzi Portio